ST;Date;Gold;Oil;Silver
1;1/01/2015;1278;48;17191
2;1/04/2015;1182;59;16124
3;1/05/2015;1189;60;16684
4;1/06/2015;1171;59;15551
5;1/07/2015;1094;47;14746
6;1/08/2015;1131;49;14577
7;1/09/2015;1115;45;14513
8;1/10/2015;1141;46;15566
9;1/12/2015;1060;37;13775
10;1/01/2016;1116;33;14229
11;1/02/2016;1233;33;14896
12;1/03/2016;1234;38;15460
13;1/04/2016;1289;45;17789
14;1/06/2016;1318;48;18582
15;1/07/2016;1349;41;20312
16;1/08/2016;1306;44;18622
17;1/09/2016;1313;48;19139
18;1/10/2016;1271;46;17761
19;1/11/2016;1170;49;16406
20;1/12/2016;1150;53;15936
21;1/02/2017;1252;54;18420
22;1/03/2017;1247;50;18235
23;1/04/2017;1266;49;17191
24;1/05/2017;1272;48;17368
25;1/06/2017;1240;46;16568
26;1/07/2017;1266;50;16750
27;1/08/2017;1316;47;17480
28;1/09/2017;1281;51;16607
29;1/11/2017;1273;57;16382
30;1/12/2017;1306;60;17059
31;1/01/2018;1339;64;17204
32;1/02/2018;1315;61;16323
33;1/03/2018;1322;64;16223
34;1/05/2018;1300;67;16402
35;1/06/2018;1251;74;16104
36;1/08/2018;1200;69;14438
37;1/09/2018;1191;73;14623
38;1/10/2018;1212;65;14229
39;1/11/2018;1220;50;14094
40;1/12/2018;1278;45;15433
41;1/01/2019;1319;53;16021
42;1/02/2019;1312;57;15538
43;1/03/2019;1293;60;15060
44;1/04/2019;1282;63;14900
45;1/05/2019;1305;53;14530
46;1/06/2019;1409;58;15253
47;1/07/2019;1426;58;16346
48;1/08/2019;1519;55;18184
49;1/10/2019;1511;54;18014
50;1/11/2019;1465;55;16969
51;1/01/2020;1582;51;17972
52;1/02/2020;1564;44;16386
53;1/04/2020;1684;18;14898
54;1/05/2020;1736;35;18440
55;1/06/2020;1793;39;18541
56;1/07/2020;1962;40;24188
57;1/08/2020;1967;42;28437
58;1/09/2020;1887;40;23433
59;1/10/2020;1877;35;23617
60;1/12/2020;1893;48;26332
